property_id,date_found,platform,listing_url,title,area,district,postcode_or_neighborhood,rent,sqm,rooms,furnished,registration,sharing_allowed,available_from,lease_months,agency,opportunity_score,reasons,indefinite,temporary,upholstered,bare,url,student_only,sharing,required_income,eligible,price_per_m2,property_type,budget_limit,household_income,within_budget,validation_issues,validation_status,property_state,status,telegram_message_id
2026-08-28 14:59,Rotterdam,Tamboerstraat,"€1,200",2,49,78.0,https://www.pararius.com/apartment-for-rent/rotterdam/a6ca8501/tamboerstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28 14:59,Schiedam,Rozenburgsestraat,€765,1,14,78.0,https://www.pararius.com/room-for-rent/schiedam/7795552b/rozenburgsestraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28 14:59,Delft,Oostblok,€685,1,16,77.0,https://www.pararius.com/room-for-rent/delft/6e8188e1/oostblok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28 14:59,Rotterdam,Bergweg,"€1,750",2,68,73.0,https://www.pararius.com/apartment-for-rent/rotterdam/d50020fd/bergweg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28 14:59,Rotterdam,Piekstraat,"€1,990",2,65,73.0,https://www.pararius.com/apartment-for-rent/rotterdam/3b6b478a/piekstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31 13:11,Rotterdam,Peppelweg,"€1,843",3,62,73.0,https://www.pararius.com/apartment-for-rent/rotterdam/ecfe6589/peppelweg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-01 11:23,Rotterdam,Willem Beukelszstraat,"€1,250",2,35,76.0,https://www.pararius.com/apartment-for-rent/rotterdam/233d420d/willem-beukelszstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-01 11:23,Rotterdam,Godijn Van Dormaalstraat,€717,1,90,75.0,https://www.pararius.com/room-for-rent/rotterdam/7abf1579/godijn-van-dormaalstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-01 11:23,Rotterdam,Sint Jobstraat,"€1,950",2,140,75.0,https://www.pararius.com/apartment-for-rent/rotterdam/a6cbd84b/sint-jobstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-01 11:23,Rotterdam,De Lairesselaan,"€1,645",2,80,75.0,https://www.pararius.com/apartment-for-rent/rotterdam/cf49eb84/de-lairesselaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-01 11:23,Rotterdam,Jericholaan,"€1,680",3,70,73.0,https://www.pararius.com/apartment-for-rent/rotterdam/8b1eadbf/jericholaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-01 15:31,Rotterdam,Zuidhoek,"€1,819",3,97,75.0,https://www.pararius.com/apartment-for-rent/rotterdam/ceb6df80/zuidhoek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-01 15:31,Rotterdam,Eendrachtsweg,"€1,970",1,51,72.0,https://www.pararius.com/studio-for-rent/rotterdam/3a45b25c/eendrachtsweg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-01 15:31,Rotterdam,Gerrit Jan Mulderstraat,"€1,578",2,45,72.0,https://www.pararius.com/apartment-for-rent/rotterdam/fd7f769f/gerrit-jan-mulderstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-01 15:31,Rotterdam,Eendrachtsweg,"€1,890",1,50,72.0,https://www.pararius.com/studio-for-rent/rotterdam/19e41d83/eendrachtsweg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-01 19:18,Rotterdam,Willem Buytewechstraat,€617,3,60,73.0,https://www.pararius.com/apartment-for-rent/rotterdam/07513620/willem-buytewechstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02 10:57,Rotterdam,Prins Hendrikstraat,"€1,775",2,50,72.0,https://www.pararius.com/apartment-for-rent/rotterdam/c90c267d/prins-hendrikstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02 10:57,Rotterdam,Graaf Florisstraat,€718,1,30,70.0,https://www.pararius.com/room-for-rent/rotterdam/14d15172/graaf-florisstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03 10:56,Rotterdam,Boezemstraat,"€1,056",2,49,78.0,https://www.pararius.com/apartment-for-rent/rotterdam/f3319d89/boezemstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03 10:56,Rotterdam,Zwart Janstraat,"€1,695",2,30,70.0,https://www.pararius.com/apartment-for-rent/rotterdam/2347f072/zwart-janstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03 14:57,Rotterdam,Strevelsweg,"€1,995",3,90,75.0,https://www.pararius.com/apartment-for-rent/rotterdam/3ff2e7db/strevelsweg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03 18:30,Rotterdam,Willebrordusplein,€876,2,33,70.0,https://www.pararius.com/apartment-for-rent/rotterdam/b8b9757a/willebrordusplein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04 08:23,Rotterdam,Grotekerkplein,"€1,400",3,43,78.0,https://www.pararius.com/apartment-for-rent/rotterdam/0a18dac2/grotekerkplein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04 08:23,Rotterdam,Schiedamsesingel,"€1,380",1,25,76.0,https://www.pararius.com/studio-for-rent/rotterdam/10b1380a/schiedamsesingel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
